tailnum,type,manufacturer,issue_date,model,status,aircraft_type,engine_type,year
N10156,Corporation,EMBRAER,2004-02-13,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2004
N102UW,Corporation,AIRBUS INDUSTRIE,1999-05-26,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N10323,Corporation,BOEING,1997-07-01,737-3TO,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1986
N103US,Corporation,AIRBUS INDUSTRIE,1999-06-18,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N104UA,Corporation,BOEING,1998-01-26,747-422,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N104UW,Corporation,AIRBUS INDUSTRIE,1999-07-02,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N10575,Corporation,EMBRAER,2003-06-24,EMB-145LR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
N105UA,Corporation,BOEING,2007-10-15,747-451,Valid,Fixed Wing Multi-Engine,Turbo-Jet,1994
N105UW,Corporation,AIRBUS INDUSTRIE,1999-07-22,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N106US,Corporation,AIRBUS INDUSTRIE,1999-08-05,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N107UA,Corporation,BOEING,1998-08-24,747-422,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1998
N107US,Corporation,AIRBUS INDUSTRIE,1999-08-17,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N108UW,Corporation,AIRBUS INDUSTRIE,1999-09-03,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N109UW,Corporation,AIRBUS INDUSTRIE,1999-09-10,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N110UW,Corporation,AIRBUS INDUSTRIE,1999-11-22,A320-214,Valid,Fixed Wing Multi-Engine,Turbo-Fan,1999
N11106,Corporation,EMBRAER,2003-06-25,EMB-145XR,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002
