name,iata_code,icao_code
10 Tanker Air Carrier,null,null
135 Airways,null,GNL
1903 Aviation,null,HCR
Air 1st Aviation Companies of Oklahoma,null,RUF
"2 Sqn, No 1 Elementary Flying Training School",null,WYT
21 Air,2I*,CSB
213 Flight Unit,null,TFU
"223rd Flight Unit, State Airline",null,CHD
224th Flight Unit,null,TTF
247 Aviation,null,EMC
247 Jet Ltd,null,TWF
25Only Aviation,null,ONY
2Excel Aviation,null,BRO
2GO Air,null,BOI
32 (TR) Squadron,null,NOH
"34 Squadron, Royal Australian Air Force",null,EVY
4 Airways,null,DAK
40-Mile Air,Q5*,MLA
43 Air School,null,PIU
Air 65,null,FGB
748 Air Services,FE,IHO
7Air Cargo,null,null
7Star Global Airlines,null,SGL
84 Squadron RAF Akrotiri,null,AKG
9Air,AQ,JYH
A-ICE,1C,null
A-Jet Aviation,null,AJR
A.P.G. Distribution System,A1,null
A-Safar Air Services,null,SFM
A2B Heli Charters,null,LHC
A2V,null,HKR
AAC - Angola Air Charter,null,AGO
AASANA,null,XXV
AB Aviation,Y6,CIK
Ababeel Aviation,null,BBE
Abaete Aerotaxi,E4,ABJ
Abakan Air,S5*,NKP
Aban Air,null,ABE
ABAS,null,MRP
Abavia,null,BVZ
Aberdair Aviation,null,BDV
ABS Avia,null,GPS
ABS Jets,null,ABP
Absolute Flight Services,null,TTN
Abu Dhabi Amiri Flight,null,AUH
Abu Dhabi Aviation,null,BAR
ABX Air,GB,ABX
AC Aviation,null,ACJ
ACA-Ancargo Air Sociedade de Transporte de Carga,null,NCL
Academia Romana de Aviatie,null,RFT
Academy Airlines,null,ACD
Airways Aviation Academy,null,AWY
Acass Ireland,null,SON
Accent Airways,null,null
AccesRail and Partner Railways,9B*,null
Accounting Centre of China Aviation,null,null
Ace Air,null,ATZ
ACE Belgium Freighters,null,null
Aviation Aces,null,ACE
ACM Aviation,null,BJT
ACM Air Charter,null,BVR
Acme,null,AKM
Acropolis Aviation,null,CRV
ACT Airlines,9T*,RUN
Act Two,null,WDW
Action Airlines,null,AXQ
AD Astra,null,ADC
AD Aviation,null,VUE
Air Ada,null,RDM
Adam Aircraft Services,null,WDA
Addis Air Cargo Services,null,DSC
Addis Airlines,null,DDS
Adefa,null,ADF
Air Adelphi,null,MUS
ADI Shuttle Group,null,TEC
Adler Aviation,null,SWH
Administracion Profesional de Aeronaves,null,RPR
Admiral Beverage Corporation,null,SGO
Adolf Wurth GmbH,null,WUE
Adro Servicios Aereos,null,DRO
Advance Aviation,null,AAX
Advance Aviation Jet,null,AJV
Advance Aviation Services,null,XTJ
Advanced Air,null,ADD
Advanced Air,AN,WSN
Advanced Flight Training,null,ADV
Aviation Adventures,null,AVL
Aviation Advisor,null,LKF
Advisors Aviation,null,BKM
AEF Cranwell,null,UAH
AEG Aviation Services,null,EBS
Aegean Airlines,A3,AEE
Aegean Executive,null,AEW
Aegle Aviation (Aruba),null,AEL
Aeolus Air,null,AAZ
